name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Ashwin Vinod</b></sub></a><br,17.0,697.0,186.0,883.0,62.0,18.0,2022-01-11 08:17:10+00:00,2022-02-05 05:19:20+00:00,1.0,0
John Ingles</b></sub></a><br,186.0,87.0,84.0,171.0,4.0,1.0,2022-09-08 02:37:43+00:00,2022-09-08 02:37:43+00:00,1.0,0
Dane Solberg</b></sub></a><br,28.0,301.0,63.0,364.0,12.0,8.0,2022-06-30 23:48:54+00:00,2022-07-14 04:27:22+00:00,1.0,0
sean-donoghue,161.0,88.0,85.0,173.0,27.0,1.0,2023-08-30 13:48:15+00:00,2023-08-30 13:48:15+00:00,1.0,0
Leo Alekseyev</b></sub></a><br,193.0,30.0,5.0,35.0,2.0,1.0,2024-02-13 09:42:36+00:00,2024-02-13 09:42:36+00:00,1.0,0
Jacob Rodgers</b></sub></a><br,,,,,,,,,0.0,0
Agustin Arce</b></sub></a><br,159.0,1.0,1.0,2.0,1.0,1.0,2024-08-25 16:50:10+00:00,2024-08-25 16:50:10+00:00,1.0,0
Christopher Krause</b></sub></a><br,45.0,232.0,37.0,269.0,12.0,4.0,2022-11-03 17:53:46+00:00,2022-11-20 19:49:09+00:00,1.0,0
Daniel González Fernández</b></sub></a><br,195.0,1.0,1.0,2.0,1.0,1.0,2023-05-24 08:56:28+00:00,2023-05-24 08:56:28+00:00,1.0,0
Scott Bradley</b></sub></a><br,,,,,,,,,0.0,0
Hugo van Kemenade</b></sub></a><br,55.0,25.0,25.0,50.0,6.0,3.0,2024-02-26 16:35:00+00:00,2024-03-15 18:37:28+00:00,1.0,0
Riley Chase</b></sub></a><br,177.0,25.0,13.0,38.0,2.0,1.0,2023-03-11 11:18:58+00:00,2023-03-11 11:18:58+00:00,1.0,0
Cesar Giulietti</b></sub></a><br,166.0,1.0,1.0,2.0,1.0,1.0,2023-11-25 03:29:06+00:00,2023-11-25 03:29:06+00:00,1.0,0
Pragy Agarwal</b></sub></a><br,65.0,5.0,3.0,8.0,3.0,3.0,2023-10-30 07:43:42+00:00,2023-11-27 16:19:05+00:00,1.0,0
Nicholas Bollweg</b></sub></a><br,,,,,,,,,0.0,0
Robert Rosca</b></sub></a><br,182.0,110.0,57.0,167.0,26.0,1.0,2023-09-23 08:52:13+00:00,2023-09-23 08:52:13+00:00,1.0,0
Carl Smedstad</b></sub></a><br,134.0,6.0,0.0,6.0,4.0,1.0,2023-03-20 10:10:54+00:00,2023-03-20 10:10:54+00:00,1.0,0
Simon Joseph</b></sub></a><br,61.0,4.0,5.0,9.0,4.0,3.0,2024-08-12 18:53:09+00:00,2024-08-16 10:30:56+00:00,1.0,0
Kyle Smith</b></sub></a><br,25.0,455.0,39.0,494.0,28.0,8.0,2022-11-04 21:07:29+00:00,2023-11-10 19:17:56+00:00,1.0,0
Peter Schutt</b></sub></a><br,4.0,31865.0,15347.0,47212.0,1625.0,194.0,2022-05-24 01:23:14+00:00,2023-10-12 05:42:29+00:00,1.0,0
Harshal Laheri</b></sub></a><br,44.0,67.0,48.0,115.0,37.0,4.0,2022-09-22 17:57:36+00:00,2024-01-18 18:54:15+00:00,1.0,0
James Bennett</b></sub></a><br,,,,,,,,,0.0,0
Kareem Mahlees</b></sub></a><br,190.0,1182.0,240.0,1422.0,30.0,1.0,2023-01-20 13:57:56+00:00,2023-01-20 13:57:56+00:00,1.0,0
Hunter Boyd</b></sub></a><br,164.0,3.0,3.0,6.0,1.0,1.0,2023-11-19 12:35:57+00:00,2023-11-19 12:35:57+00:00,1.0,0
Jacob Coffee</b></sub></a><br,7.0,8363.0,7827.0,16190.0,450.0,129.0,2023-01-12 04:28:11+00:00,2024-09-20 01:18:37+00:00,1.0,0
Patrick Armengol</b></sub></a><br,58.0,226.0,80.0,306.0,37.0,3.0,2023-04-20 08:06:20+00:00,2023-06-26 08:58:46+00:00,1.0,0
Konstantin Mikhailov</b></sub></a><br,13.0,2384.0,601.0,2985.0,190.0,25.0,2022-09-29 09:16:33+00:00,2022-12-02 09:00:11+00:00,1.0,0
Marcel Johannesmann</b></sub></a><br,77.0,19.0,18.0,37.0,3.0,2.0,2023-07-22 01:31:43+00:00,2024-01-20 12:02:27+00:00,1.0,0
Tom Kuo</b></sub></a><br,,,,,,,,,0.0,0
Ikko Eltociear,197.0,1.0,1.0,2.0,1.0,1.0,2024-06-11 16:36:27+00:00,2024-06-11 16:36:27+00:00,1.0,0
William Stam</b></sub></a><br,222.0,229.0,0.0,229.0,3.0,1.0,2023-12-02 18:35:45+00:00,2023-12-02 18:35:45+00:00,1.0,0
Tomas Jonsson</b></sub></a><br,87.0,14.0,9.0,23.0,3.0,2.0,2023-04-12 21:48:57+00:00,2023-08-12 19:48:13+00:00,1.0,0
Stanislav Lyu.</b></sub></a><br,116.0,28.0,5.0,33.0,3.0,1.0,2024-10-22 18:43:59+00:00,2024-10-22 18:43:59+00:00,1.0,0
Joshua Bronson</b></sub></a><br,207.0,1.0,0.0,1.0,1.0,1.0,2022-10-16 13:40:17+00:00,2022-10-16 13:40:17+00:00,1.0,0
